"","age","minutes","lvalue","total_market_value","goals","assists","seleccion","pos_Defensa","pos_Delantero","pos_Medio Centro","pos_Portero","equipo_0","equipo_1","equipo_2","value"
"261",32,2231,2e+06,143750000,1,5,1,0,0,1,0,1,0,0,2e+06
"262",33,0,4e+05,221300000,0,0,1,0,0,0,1,1,0,0,150000
"263",34,0,150000,221580000,0,0,1,0,0,0,1,1,0,0,1e+05
"264",40,554,50000,13630000,0,0,0,0,0,0,1,1,0,0,50000
"265",32,2878,3e+06,264300000,1,2,1,1,0,0,0,1,0,0,2250000
"266",33,2166,2250000,254700000,2,4,1,1,0,0,0,1,0,0,1750000
"267",35,1690,1750000,300750000,2,1,1,1,0,0,0,1,0,0,1200000
"268",31,1243,1833333.33333333,143750000,0,0,1,0,0,1,0,1,0,0,1750000
"269",36,0,3e+05,4.1e+07,0,0,0,0,0,0,1,1,0,0,266666.666666667
"270",30,706,1.8e+07,898600000,0,1,1,0,0,1,0,0,0,1,1.8e+07
"271",31,3316,1125000,45330000,6,0,1,1,0,0,0,1,0,0,1916666.66666667
"272",32,2078,1916666.66666667,48580000,2,1,1,1,0,0,0,1,0,0,1750000
"273",34,1964,1750000,46630000,0,0,1,1,0,0,0,1,0,0,1200000
"274",33,0,3333333.33333333,578480000,0,0,1,0,0,1,0,0,0,1,1250000
"275",34,310,8e+05,112530000,4,0,1,0,1,0,0,1,0,0,566666.666666667
"276",33,135,2833333.33333333,291150000,0,0,1,1,0,0,0,0,0,1,750000
"277",33,602,5500000,264300000,5,1,0,0,0,1,0,1,0,0,4e+06
"278",34,122,4e+06,254700000,0,0,0,0,0,1,0,1,0,0,2e+06
"279",36,810,1750000,1.17e+09,0,0,1,0,0,0,1,0,1,0,1e+06
"280",37,1260,1e+06,705850000,0,0,1,0,0,0,1,0,1,0,875000
"281",39,540,875000,889200000,0,0,1,0,0,0,1,0,1,0,550000
"282",30,3913,1.5e+07,367680000,11,13,1,0,0,1,0,1,0,0,1.7e+07
"283",31,3610,1.7e+07,291430000,8,18,1,0,0,1,0,1,0,0,1.6e+07
