competition,year,link,name,abbrev,num_players,avg_age,num_foreigners,total_market_value
Segunda Division,2021,https://www.transfermarkt.es/malaga-cf/kader/verein/1084/saison_id/2021,Málaga CF,28,,6.0,,23300000.0
Segunda Division,2021,https://www.transfermarkt.es/ud-las-palmas/kader/verein/472/saison_id/2021,UD Las Palmas,27,,6.0,,23000000.0
Segunda Division,2021,https://www.transfermarkt.es/cd-mirandes/kader/verein/13222/saison_id/2021,CD Mirandés,25,,5.0,,19000000.0
Segunda Division,2021,https://www.transfermarkt.es/cd-tenerife/kader/verein/648/saison_id/2021,CD Tenerife,25,,5.0,,18900000.0
Segunda Division,2021,https://www.transfermarkt.es/real-oviedo/kader/verein/2497/saison_id/2021,Real Oviedo,24,,5.0,,18800000.0
Segunda Division,2021,https://www.transfermarkt.es/cf-fuenlabrada/kader/verein/16486/saison_id/2021,CF Fuenlabrada,25,,8.0,,14700000.0
Segunda Division,2021,https://www.transfermarkt.es/sd-ponferradina/kader/verein/4032/saison_id/2021,SD Ponferradina,25,,6.0,,14500000.0
Segunda Division,2021,https://www.transfermarkt.es/fc-cartagena/kader/verein/7077/saison_id/2021,FC Cartagena,24,,10.0,,12500000.0
Segunda Division,2021,https://www.transfermarkt.es/ud-ibiza/kader/verein/13241/saison_id/2021,UD Ibiza,25,,4.0,,11200000.0
Segunda Division,2021,https://www.transfermarkt.es/sd-amorebieta/kader/verein/16575/saison_id/2021,SD Amorebieta,27,,0.0,,10250000.0
Segunda Division,2021,https://www.transfermarkt.es/burgos-cf/kader/verein/1536/saison_id/2021,Burgos CF,24,,1.0,,8000000.0
Segunda Division,2021,https://www.transfermarkt.es/cd-lugo/kader/verein/11000/saison_id/2021,CD Lugo,25,,3.0,,7400000.0
Segunda Division,2021,https://www.transfermarkt.es/ad-alcorcon/kader/verein/11596/saison_id/2021,AD Alcorcón,26,,6.0,,6800000.0
Primera RFEF I,2021,https://www.transfermarkt.es/bilbao-athletic/kader/verein/6688/saison_id/2021,Bilbao Athletic,26,,2.0,,10350000.0
Primera RFEF I,2021,https://www.transfermarkt.es/celta-de-vigo-b/kader/verein/8733/saison_id/2021,Celta de Vigo B,21,,5.0,,8050000.000000001
Primera RFEF I,2021,https://www.transfermarkt.es/rc-deportivo-de-la-coruna/kader/verein/897/saison_id/2021,RC Deportivo de La Coruña,24,,3.0,,7730000.0
Primera RFEF I,2021,https://www.transfermarkt.es/racing-de-santander/kader/verein/630/saison_id/2021,Racing de Santander,23,,3.0,,6950000.0
Primera RFEF I,2021,https://www.transfermarkt.es/ud-logrones/kader/verein/24420/saison_id/2021,UD Logroñés,21,,4.0,,5350000.0
Primera RFEF I,2021,https://www.transfermarkt.es/cultural-leonesa/kader/verein/4542/saison_id/2021,Cultural Leonesa,28,,6.0,,5300000.0
Primera RFEF I,2021,https://www.transfermarkt.es/cf-rayo-majadahonda/kader/verein/13702/saison_id/2021,CF Rayo Majadahonda,23,,4.0,,5150000.0
Primera RFEF I,2021,https://www.transfermarkt.es/racing-de-ferrol/kader/verein/1176/saison_id/2021,Racing de Ferrol,24,,5.0,,4850000.0
Primera RFEF I,2021,https://www.transfermarkt.es/cd-badajoz/kader/verein/2923/saison_id/2021,CD Badajoz,20,,4.0,,4700000.0
Primera RFEF I,2021,https://www.transfermarkt.es/cd-calahorra/kader/verein/4030/saison_id/2021,CD Calahorra,21,,0.0,,4300000.0
Primera RFEF I,2021,https://www.transfermarkt.es/real-union-club/kader/verein/12405/saison_id/2021,Real Unión Club,24,,2.0,,4300000.0
Primera RFEF I,2021,https://www.transfermarkt.es/unionistas-cf/kader/verein/52397/saison_id/2021,Unionistas CF,22,,2.0,,4200000.0
Primera RFEF I,2021,https://www.transfermarkt.es/cf-talavera-de-la-reina/kader/verein/47421/saison_id/2021,CF Talavera de la Reina,24,,7.0,,4100000.0
Primera RFEF I,2021,https://www.transfermarkt.es/real-valladolid-promesas/kader/verein/7078/saison_id/2021,Real Valladolid Promesas,24,,5.0,,3850000.0
Primera RFEF I,2021,https://www.transfermarkt.es/ud-san-sebastian-de-los-reyes/kader/verein/11245/saison_id/2021,UD San Sebastián de los Reyes,22,,1.0,,3850000.0
Primera RFEF I,2021,https://www.transfermarkt.es/zamora-cf/kader/verein/10907/saison_id/2021,Zamora CF,26,,4.0,,3400000.0
Primera RFEF I,2021,https://www.transfermarkt.es/sd-logrones/kader/verein/33303/saison_id/2021,SD Logroñés,25,,2.0,,3380000.0
Primera RFEF I,2021,https://www.transfermarkt.es/dux-internacional-de-madrid/kader/verein/50260/saison_id/2021,DUX Internacional de Madrid,22,,3.0,,3300000.0
Primera RFEF I,2021,https://www.transfermarkt.es/cd-tudelano/kader/verein/29271/saison_id/2021,CD Tudelano,21,,10.0,,2400000.0
Primera RFEF I,2021,https://www.transfermarkt.es/extremadura-ud/kader/verein/29095/saison_id/2021,Extremadura UD,16,,2.0,,50000.0
Primera RFEF II,2021,https://www.transfermarkt.es/fc-barcelona-b/kader/verein/2464/saison_id/2021,FC Barcelona B,31,,11.0,,30700000.0
Primera RFEF II,2021,https://www.transfermarkt.es/real-madrid-castilla/kader/verein/6767/saison_id/2021,Real Madrid Castilla,25,,2.0,,22200000.0
Primera RFEF II,2021,https://www.transfermarkt.es/albacete-balompie/kader/verein/1532/saison_id/2021,Albacete Balompié,26,,9.0,,7100000.0
Primera RFEF II,2021,https://www.transfermarkt.es/villarreal-cf-b/kader/verein/11972/saison_id/2021,Villarreal CF B,25,,6.0,,6650000.0
Primera RFEF II,2021,https://www.transfermarkt.es/cd-castellon/kader/verein/2502/saison_id/2021,CD Castellón,25,,4.0,,5700000.0
Primera RFEF II,2021,https://www.transfermarkt.es/fc-andorra/kader/verein/10718/saison_id/2021,FC Andorra,25,,3.0,,5550000.0
Primera RFEF II,2021,https://www.transfermarkt.es/atletico-baleares/kader/verein/18687/saison_id/2021,Atlético Baleares,24,,5.0,,5550000.0
Primera RFEF II,2021,https://www.transfermarkt.es/ce-sabadell/kader/verein/11422/saison_id/2021,CE Sabadell,25,,2.0,,5350000.0
Primera RFEF II,2021,https://www.transfermarkt.es/san-fernando-cd/kader/verein/12181/saison_id/2021,San Fernando CD,23,,6.0,,5280000.0
Primera RFEF II,2021,https://www.transfermarkt.es/sevilla-atletico/kader/verein/8519/saison_id/2021,Sevilla Atlético,27,,2.0,,5200000.0
Primera RFEF II,2021,https://www.transfermarkt.es/algeciras-cf/kader/verein/3705/saison_id/2021,Algeciras CF,26,,3.0,,5130000.0
Primera RFEF II,2021,https://www.transfermarkt.es/betis-deportivo-balompie/kader/verein/2865/saison_id/2021,Betis Deportivo Balompié,22,,6.0,,5100000.0
Primera RFEF II,2021,https://www.transfermarkt.es/ucam-murcia-cf/kader/verein/34148/saison_id/2021,UCAM Murcia CF,23,,2.0,,5050000.0
Primera RFEF II,2021,https://www.transfermarkt.es/real-balompedica-linense/kader/verein/12605/saison_id/2021,Real Balompédica Linense,24,,7.0,,4500000.0
Primera RFEF II,2021,https://www.transfermarkt.es/cd-alcoyano/kader/verein/11259/saison_id/2021,CD Alcoyano,22,,3.0,,4350000.0
Primera RFEF II,2021,https://www.transfermarkt.es/gimnastic-de-tarragona/kader/verein/5648/saison_id/2021,Gimnàstic de Tarragona,22,,4.0,,4300000.0
Primera RFEF II,2021,https://www.transfermarkt.es/atletico-sanluqueno/kader/verein/21322/saison_id/2021,Atlético Sanluqueño,25,,2.0,,4200000.0
Primera RFEF II,2021,https://www.transfermarkt.es/ue-costa-brava/kader/verein/26132/saison_id/2021,UE Costa Brava,24,,6.0,,4180000.0
Primera RFEF II,2021,https://www.transfermarkt.es/linares-deportivo/kader/verein/12351/saison_id/2021,Linares Deportivo,21,,3.0,,3800000.0
Primera RFEF II,2021,https://www.transfermarkt.es/ue-cornella/kader/verein/16196/saison_id/2021,UE Cornellà,24,,5.0,,3700000.0
